ProviderNamespace,ResourceType,ModuleDisplayName,AlternativeNames,ModuleName,ParentModule,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
HennepinCounty,angular_app_storage,tf-mod-angularapp,,tf-mod-angularapp,n/a,Available :green_circle:,https://github.com/HennepinCounty/cloudops-tf-mod-angularapp,https://github.com/HennepinCounty/cloudops-tf-mod-angularapp,,johnknutsonhc,John Knutson,,,@HennepinCounty/cloud-ops,,HVM Resource Module for Angular Apps hosted in Azure Storage,,
Microsoft.AAD,domainServices,Azure Active Directory Domain Service,,avm-res-aad-domainservice,n/a,Proposed :new:,https://github.com/Azure/terraform-azurerm-avm-res-aad-domainservice,https://registry.terraform.io/modules/Azure/avm-res-aad-domainservice/azurerm/latest,46d3xgtf.res.aad-domainservice,humanascode,Itamar Hirosh,,,@Azure/avm-res-aad-domainservice-module-owners-tf,@Azure/avm-res-aad-domainservice-module-contributors-tf,AVM Resource Module for Azure Active Directory Domain Service,,
