ModuleDisplayName,AlternativeNames,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
HennepinCounty,azure-workload-bootstrap,terraform-cloudops-azure-workload-bootstrap,Available :green_circle:,https://github.com/HennepinCounty/terraform-cloudops-azure-workload-bootstrap,https://github.com/HennepinCounty/terraform-cloudops-azure-workload-bootstrap,,stevexiong-hennepin,Steve Xiong,,,@HennepinCounty/cloud-ops,,Module to bootstrap an Azure workload,,
HennepinCounty,azure-lz-vending,terraform-cloudops-azure-lz-vending,Available :green_circle:,https://github.com/HennepinCounty/terraform-cloudops-azure-lz-vending,https://github.com/HennepinCounty/terraform-cloudops-azure-lz-vending,,stevexiong-hennepin,Steve Xiong,,,@HennepinCounty/cloud-ops,,Module for provisioning new Azure subscriptions.,,
